DATE,TIME,LON,LAT
2013-08-17,08:23:20,-118.3374205,34.1027037
2013-08-17,08:24:20,-118.3374205,34.1027037
2013-08-17,08:26:20,-118.3374205,34.1027037
2013-08-17,08:27:20,-118.3374205,34.1027037
2013-08-17,08:29:20,-118.3374205,34.1027037
2013-08-17,08:30:20,-118.3374205,34.1027037
2013-08-17,08:31:20,-118.3374205,34.1027037
2013-08-17,08:33:20,-118.3374205,34.1027037
2013-08-17,08:34:20,-118.3374205,34.1027037
2013-08-17,08:36:20,-118.3374205,34.1027037
2013-08-17,08:37:20,-118.3374205,34.1027037
2013-08-17,08:38:20,-118.3374205,34.1027037
2013-08-17,08:39:20,-118.3374205,34.1027037
2013-08-17,08:41:21,-118.3374205,34.1027037
2013-08-17,08:42:21,-118.3374205,34.1027037
2013-08-17,08:43:21,-118.3374205,34.1027037
2013-08-17,08:44:21,-118.3374205,34.1027037
2013-08-17,08:46:21,-118.3374205,34.1027037
2013-08-17,08:47:21,-118.3374205,34.1027037
2013-08-17,08:49:21,-118.3374205,34.1027037
2013-08-17,08:50:22,-118.3374205,34.1027037
2013-08-17,08:52:22,-118.3374205,34.1027037
2013-08-17,08:53:22,-118.3374205,34.1027037
2013-08-17,08:54:22,-118.3374205,34.1027037
2013-08-17,08:55:22,-118.3374205,34.1027037
2013-08-17,08:56:22,-118.3374205,34.1027037
2013-08-17,08:58:22,-118.3374205,34.1027037
2013-08-17,08:59:22,-118.3374205,34.1027037
2013-08-17,09:00:22,-118.3374205,34.1027037
2013-08-17,09:01:22,-118.3374205,34.1027037
2013-08-17,09:02:22,-118.3374205,34.1027037
2013-08-17,09:03:22,-118.3374205,34.1027037
2013-08-17,09:04:22,-118.3374205,34.1027037
2013-08-17,09:05:22,-118.3374205,34.1027037
2013-08-17,09:06:22,-118.3374205,34.1027037
2013-08-17,09:07:22,-118.3374205,34.1027037
2013-08-17,09:08:22,-118.3374205,34.1027037
2013-08-17,09:09:23,-118.3374205,34.1027037
2013-08-17,09:10:23,-118.3374205,34.1027037
2013-08-17,09:11:23,-118.3374205,34.1027037
2013-08-17,09:12:23,-118.3374205,34.1027037
2013-08-17,09:13:23,-118.3374205,34.1027037
2013-08-17,09:14:23,-118.3374205,34.1027037
2013-08-17,09:15:23,-118.3374205,34.1027037
2013-08-17,09:16:23,-118.3374205,34.1027037
2013-08-17,09:17:23,-118.3374205,34.1027037
2013-08-17,09:18:23,-118.3374205,34.1027037
2013-08-17,09:19:23,-118.3374205,34.1027037
2013-08-17,09:21:23,-118.3374205,34.1027037
2013-08-17,09:23:23,-118.3374205,34.1027037
2013-08-17,09:24:23,-118.3374205,34.1027037
